syllable,p_stressed,p_long
kunst,0.9755861452627448,0.9755861777926307
schärf,0.6631139315034967,0.6631139315034967
tanz,0.8751151570797526,0.8751151570808451
bö,0.8029232753862127,0.8281225930311857
haup,0.9795917648434633,0.9795917648508266
glei,0.9873389674139648,0.987338967503209
fürch,0.9677419263422038,0.967741926348656
schmuck,0.756058204713641,0.8935233485150536
spän,0.6666613490687535,0.6666613490687543
hir,0.9807691982652166,0.9807691982696688
treid',0.9145779458019523,0.914579071574173
grün,0.9230065217358672,0.9230065217358672
rern,0.2,0.250007577759179
wagst,0.7497567376916214,0.7497567376916214
geg,0.9868325131353175,0.9868343819960871
rechts,0.882348490959681,0.9696792417797426
quell,0.7497245582256773,0.8747218434139789
tränt,0.6666666648022505,0.6666666648022505
schen,0.15960513734070536,0.2167621684504162
stän,0.9795917304060024,0.9795917504374959
gäa,0.3333333333333333,0.5
zeich,0.9090877577805687,0.9090877577814087
tle,0.08333389670877495,0.407926133557154
dau,0.9086593667132831,0.908659366950508
läos,0.3333333333333333,0.5
wal,0.9960159350798782,0.9960159352422917
kron,0.666536041522022,0.6665360415673766
ag,0.5,0.5000000058826615
schleppt,0.7997015698466853,0.7997015698466853
ses',0.2500000000191659,0.7499994387024317
schlös,0.6666666666666666,0.6666666666666666
gert',0.2500003523897906,0.2500003523897906
un,0.5395076500142182,0.6962956410597417
fäh,0.874989827087729,0.874989827087729
leuch,0.97999998224125,0.9799999824501079
ki,0.29619183927536274,0.3023362232257739
tob,0.9583333061176428,0.9583333061176714
trenn,0.9166659401066228,0.9166659401203061
cho,0.7999996912990631,0.7999996912990631
weg',0.777671315472436,0.7777632880867252
mör,0.8571399722366295,0.8571399722366295
fell,0.4285691315917954,0.7499959802856401
floch,0.937499699131021,0.9374996991329912
sön,0.6666666666666666,0.6666666666666666
fem,0.11111172987854896,0.7777390122508026
läh,0.7999999999999999,0.7999999999999999
stirbst,0.7306641328582884,0.7478393376543975
letzt,0.9609392488165186,0.9609393228835927
tros,0.7999237241212402,0.79992372412141
leb',0.748142400879009,0.748142400879009
spee,0.9721776029159133,0.972177646833128
klärt,0.6511767989658805,0.6511767989658805
mög,0.8999485079698362,0.8999511940699163
is,0.12500000000000003,0.23770523941913704
braust,0.5934607535982108,0.7418259422456943
ah,0.8888793136667847,0.8888795540359078
beh,0.7488593356058098,0.7488593356058098
zeuch,0.7999834413677024,0.7999834413677024
schwül',0.6663183914071411,0.666412331635381
schlün,0.6666666665724715,0.6666666665724715
wöhnt,0.833310266637508,0.8333102677872988
zeln,0.21696265890728617,0.4921130791884523
