line_number,book_number,original_text
182,1,"Rühm' ich mich, und beherrsche die ruderliebenden Taphos."
183,1,Jetzo schifft' ich hier an; denn ich steure mit meinen Genossen
184,1,"Über das dunkle Meer zu unverständlichen Völkern,"
185,1,Mir in Temesa Kupfer für blinkendes Eisen zu tauschen.
186,1,"Und mein Schiff liegt außer der Stadt am freien Gestade,"
187,1,"In der reithrischen Bucht, all des waldichten Neïon Fuße."
188,1,"Lange preisen wir, schon von dein Zeiten unserer Väter,"
189,1,Uns Gastfreunde. Du darfst nur zum alten Helden Laertes
190,1,"Gehn und fragen; der jetzt, wie man sagt, nicht mehr in die Stadt kommt,"
191,1,"Sondern in Einsamkeit auf dem Lande sein Leben vertrauret,"
192,1,"Bloß von der Alten bedient, die ihm sein Essen und Trinken"
193,1,"Vorsetzt, wann er einmal vom fruchtbaren Rebengefilde,"
194,1,"Wo er den Tag hinschleicht, mit müden Gliedern zurückwankt."
195,1,"Aber ich kam, weil es hieß, dein Vater wäre nun endlich"
196,1,Heimgekehrt; doch ihm wehren vielleicht die Götter die Heimkehr.
197,1,Denn noch starb er nicht auf Erden der edle Odysseus;
198,1,Sondern er lebt noch wo in einem umflossenen Eiland
199,1,"Auf dem Meere der Welt; ihn halten grausame Männer,"
200,1,"Wilde Barbaren, die dort mit Gewalt zu bleiben ihn zwingen."
201,1,"Aber ich will dir anitzt weissagen, wie es die Götter"
202,1,"Mir in die Seele gelegt, und wie's wahrscheinlich geschehn wird;"
203,1,"Denn kein Seher bin ich, noch Flüge zu deuten erleuchtet."
204,1,Nicht mehr lange bleibt er von seiner heimischen Insel
205,1,"Ferne, nicht lange mehr, und hielten ihn eiserne Bande;"
206,1,"Sinnen wird er auf Flucht, und reich ist sein Geist an Erfindung."
207,1,"Aber verkündige mir, und sage die lautere Wahrheit."
208,1,Bist du mit dieser Gestalt ein leiblicher Sohn von Odysseus?
209,1,"Wundergleich bist du ihm, an Haupt und Glanze der Augen!"
210,1,"Denn oft haben wir so uns zu einander gesellet,"
211,1,Eh' er gen Troja fuhr mit den übrigen Helden Achaias.
212,1,"Seitdem hab' ich Odysseus, und jener mich nicht gesehen."
213,1,Und der verständige Jüngling Telemachos sagte dagegen:
214,1,"Dieses will ich dir, Freund, und nach der Wahrheit, erzählen."
215,1,"Meine Mutter die sagt es, er sei mein Vater; ich selber"
216,1,"Weiß es nicht: denn von selbst weiß niemand, wer ihn gezeuget."
217,1,"Wär ich doch lieber der Sohn von einem glücklichen Manne,"
218,1,Den bei seiner Habe das ruhige Alter beschliche!
219,1,Aber der Unglückseligste aller sterblichen Menschen
220,1,"Ist, wie man sagt, mein Vater; weil du mich darum befragest."
221,1,Drauf antwortete Zeus' blauäugichte Tochter Athene:
222,1,Nun so werden die Götter doch nicht den Namen des Hauses
223,1,"Tilgen, da solchen Sohn ihm Penelopeia geboren."
224,1,"Aber verkündige mir, und sage die lautere Wahrheit."
225,1,"Was für ein Schmaus ist hier, und Gesellschaft? Gibst du ein Gastmahl,"
226,1,Oder ein Hochzeitfest? Denn keinem Gelag' ist es ähnlich!
227,1,Dafür scheinen die Gäste mit zu unbändiger Frechheit
228,1,Mir in dem Saale zu schwärmen. Ereifern müßte die Seele
229,1,"Jedes vernünftigen Manns, der solche Greuel mit ansäh!"
230,1,Und der verständige Jüngling Telemachos sagte dagegen:
231,1,"Fremdling, weil du mich fragst, und so genau dich erkundest;"
232,1,Ehmals konnte dies Haus vielleicht begütert und glänzend
233,1,"Heißen, da jener noch im Vaterlande verweilte:"
234,1,"Aber nun haben es anders die grausamen Götter entschieden,"
235,1,Welche den herrlichen Mann vor allen Menschen verdunkelt!
236,1,"Ach! ich trauerte selbst um den Tod des Vaters nicht so sehr,"
237,1,"Wär' er mit seinen Genossen im Lande der Troer gefallen,"
238,1,"Oder den Freunden im Arme, nachdem er den Krieg vollendet."
239,1,"Denn ein Denkmal hätt' ihm das Volk der Achaier errichtet,"
240,1,Und so wäre zugleich sein Sohn bei den Enkeln verherrlicht.
241,1,Aber er ward unrühmlich ein Raub der wilden Harpyen;
242,1,"Weder gesehn, noch gehört, verschwand er, und ließ mir zum Erbteil"
243,1,Jammer und Weh! Doch jetzo bewein' ich nicht jenen allein mehr;
244,1,Ach! es bereiteten mir die Götter noch andere Leiden.
245,1,"Alle Fürsten, so viel in diesen Inseln gebieten,"
246,1,"In Dulichion, Same, der waldbewachsnen Zakynthos,"
247,1,Und so viele hier in der felsichten Ithaka herrschen:
248,1,"Alle werben um meine Mutter, und zehren das Gut auf."
249,1,Aber die Mutter kann die aufgedrungne Vermählung
250,1,"Nicht ausschlagen, und nicht vollziehn. Nun verprassen die Schwelger"
251,1,"All mein Gut, und werden in kurzem mich selber zerreißen!"
252,1,Und mit zürnendem Schmerz antwortete Pallas Athene:
253,1,"Götter, wie sehr bedarfst du des langabwesenden Vaters,"
254,1,Daß sein furchtbarer Arm die schamlosen Freier bestrafe!
255,1,"Wenn er doch jetzo käm', und vorn in der Pforte des Saales"
256,1,"Stünde, mit Helm und Schild und zween Lanzen bewaffnet;"
257,1,"So an Gestalt, wie ich ihn zum erstenmale gesehen,"
258,1,"Da er aus Ephyra kehrend von Ilos, Mermeros' Sohne,"
259,1,Sich in unserer Burg beim gastlichen Becher erquickte!
260,1,"Denn dorthin war Odysseus im schnellen Schiffe gesegelt,"
261,1,"Menschentötende Säfte zu holen, damit er die Spitze"
262,1,Seiner gefiederten Pfeile vergiftete. Aber sie gab ihm
263,1,"Ilos nicht, denn er scheute den Zorn der unsterblichen Götter;"
264,1,"Aber mein Vater gab ihm das Gift, weil er herzlich ihn liebte:"
265,1,Wenn doch in jener Gestalt Odysseus den Freiern erschiene!
266,1,"Bald wär' ihr Leben gekürzt, und ihnen die Heirat verbittert!"
267,1,"Aber dieses ruhet im Schoße der seligen Götter,"
