line_number,book_number,original_text
205,1,Sein unbändiger Stolz wird einst noch das Leben ihm kosten!
206,1,Drauf antwortete Zeus blauäugige Tochter Athene:
207,1,"Deinen Zorn zu stillen, gehorchtest du, kam ich vom Himmel;"
208,1,"Denn mich sendete Here, die lilienarmige Göttin,"
209,1,Die für beide zugleich in liebender Seele besorgt ist.
210,1,"Aber wohlan, laß fahren den Streit, und zucke das Schwert nicht."
211,1,"Magst du mit Worten ihn doch beleidigen, wie es dir einfällt."
212,1,"Denn ich sage dir an, und das wird wahrlich vollendet:"
213,1,"Einst wird dir noch dreimal so herrliche Gabe geboten,"
214,1,"Wegen der heutigen Schmach. Drum fasse dich nun, und gehorch' uns."
215,1,Ihr antwortete drauf der mutige Renner Achilleus:
216,1,"Euer Wort, o Göttin, geziemet es, wohl zu bewahren,"
217,1,Welche Wut auch im Herzen sich hebt; denn solches ist besser.
218,1,"Wer dem Gebot der Götter gehorcht, den hören sie wieder."
219,1,"Sprach's, und hemmte die nervichte Hand an dem silbernen Hefte,"
220,1,"Stieß in die Scheide zurück das große Schwert, und verwarf nicht"
221,1,"Athenäens Gebot. Sie wandte sich drauf zum Olympos,"
222,1,"In den Palast des donnernden Zeus, zu den anderen Göttern."
223,1,Doch der Peleide begann mit erbitterten Worten von neuem
224,1,Gegen des Atreus Sohn; denn noch nicht ruht' er vom Zorne:
225,1,"Trunkenbold, mit dem hündischen Blick, und dem Mute des Hirsches!"
226,1,"Niemals weder zur Schlacht mit dem Volke zugleich dich zu rüsten,"
227,1,"Noch zum Hinterhalte zu gehn mit den edlen Achaias,"
228,1,Hast du im Herzen gewagt! Das scheinen dir Schrecken des Todes!
229,1,"Zwar behaglicher ist es, im weiten Heer der Achaier"
230,1,"Ihm sein Geschenk zu entwenden, der dir entgegen nur redet!"
231,1,Volkverschlingender König! Denn nichtigen Menschen gebeutst du!
232,1,"Oder du hättest, Atreide, das letzte Mal heute gefrevelt!"
233,1,"Aber ich sage dir an, und mit heiligen Eide beschwör' ich's!"
234,1,"Wahrlich bei diesem Scepter, der niemals Blätter und Zweige"
235,1,"Wieder zeugt, nachdem er den Stamm im Gebirge verlassen;"
236,1,"Nie mehr sproßt er empor, denn ringsum schälte das Erz ihm"
237,1,Laub und Rinde hinweg; und edele Söhne Achaias
238,1,"Tragen ihn jetzt in der Hand, die Richtenden, welchen Kronion"
239,1,Seine Gesetze vertraut: dies sei dir die hohe Beteurung!
240,1,Wahrlich vermißt wird Achilleus hinfort von den Söhnen Achaias
241,1,"Allzumal; dann suchst du umsonst, wie sehr du dich härmest,"
242,1,"Rettung, wenn sie in Scharen, vom männermordenden Hektor"
243,1,"Niedergestürzt, hinsterben; und tief in der Seele zernagt dich"
244,1,"Zürnender Gram, daß den besten der Danaer nichts du geehret!"
245,1,"Also sprach der Peleid', und warf auf die Erde den Scepter,"
246,1,Rings mit goldenen Buckeln geschmückt; dann setzt' er sich nieder.
247,1,Gegen ihn stand der Atreid' und wütete. Jetzo erhub sich
248,1,"Nestor mit holdem Gespräch, der tönende Redner von Pylos,"
249,1,Dem von der Zung' ein Laut wie des Honiges Süße daherfloß.
250,1,Diesem waren schon zwei der redenden Menschengeschlechter
251,1,"Hingewelkt, die vordem ihm zugleich aufwuchsen und lebten,"
252,1,Dort in der heiligen Pylos; und jetzt das dritte beherrscht' er.
253,1,"Dieser begann wohlmeinend, und redete vor der Versammlung:"
254,1,"Wehe, wie großes Leid dem achaiischen Lande herannaht!"
255,1,"Traun, wohl freun wird sich Priamos des, und Priamos Söhne,"
256,1,"Auch das Volk der Troer wird hoch frohlocken im Herzen,"
257,1,"Wenn sie das alles gehört, wie ihr durch Zank euch ereifert,"
258,1,"Ihr, die ersten Achaier im Rat, und die ersten im Kampfe."
259,1,"Aber gehorcht! Ihr beide seid jüngeres Alters, denn ich bin!"
260,1,"Denn schon vormals pflog ich mit stärkeren Männern Gemeinschaft,"
261,1,Als ihr seid; und dennoch verachteten jene mich nimmer!
262,1,"Solche Männer ersah ich nicht mehr, und ersehe sie schwerlich,"
