line_number,book_number,original_text,verse_normalized,verse_syllabified
1713,3,"Jetzo sah den Ajas der Greis, und fragte noch einmal:",jetzo sah den ajas der greis und fragte noch einmal,jet|zo|sah|den|a|jas|der|greis|und|frag|te|noch|ein|mal
1714,3,"Wer ist dort der achaiische Mann, so groß und gewaltig,",wer ist dort der achaiische mann so groß und gewaltig,wer|ist|dort|der|a|chai|isch|e|mann|so|groß|und|ge|wal|tig
1715,3,Höher denn alles Volk an Haupt und mächtigen Schultern?,höher denn alles volk an haupt und mächtigen schultern,hö|her|denn|al|les|volk|an|haupt|und|mäch|ti|gen|schul|tern
1716,3,"Aber Helena sprach, die herrliche, langes Gewandes:",aber helena sprach die herrliche langes gewandes,a|ber|he|le|na|sprach|die|herr|li|che|lan|ges|ge|wan|des
1717,3,"Ajas heißt der gewaltige Held, der Danaer Schutzwehr.",ajas heißt der gewaltige held der danaer schutzwehr,a|jas|heißt|der|ge|wal|ti|ge|held|der|da|na|er|schutz|wehr
1718,3,"Dorthin steht, wie ein Gott, Idomeneus unter den Kretern;",dorthin steht wie ein gott idomeneus unter den kretern,dort|hin|steht|wie|ein|gott|i|do|me|neus|un|ter|den|kre|tern
1719,3,Und es umstehn den König die kretischen Führer versammelt.,und es umstehn den könig die kretischen führer versammelt,und|es|um|stehn|den|kö|nig|die|kre|ti|schen|füh|rer|ver|sam|melt
1720,3,"Oft herbergete jenen der streitbare Held Menelaos,",oft herbergete jenen der streitbare held menelaos,oft|her|ber|ge|te|je|nen|der|streit|ba|re|held|me|ne|la|os
1721,3,"Wann er aus Kreta kam, daheim in unserer Wohnung.",wann er aus kreta kam daheim in unserer wohnung,wann|er|aus|kre|ta|kam|da|heim|in|un|se|rer|woh|nung
1722,3,"Nun zwar schau' ich sie alle, die freudigen Krieger Achaias,",nun zwar schau' ich sie alle die freudigen krieger achaias,nun|zwar|schau'|ich|sie|al|le|die|freu|di|gen|krie|ger|a|chai|as
1723,3,"Die ich wohl noch erkennt', und jeglichen nennte mit Namen:",die ich wohl noch erkennt' und jeglichen nennte mit namen,die|ich|wohl|noch|er|kennt'|und|jeg|li|chen|nenn|te|mit|na|men
1724,3,"Zween nur vermag ich nirgend zu schaun der Völkergebieter,",zween nur vermag ich nirgend zu schaun der völkergebieter,zween|nur|ver|mag|ich|nir|gend|zu|schaun|der|völ|ker|ge|bie|ter
1725,3,"Kastor den reisigen Held, und den Kämpfer der Faust Polydeukes,",kastor den reisigen held und den kämpfer der faust polydeukes,kas|tor|den|rei|si|gen|held|und|den|kämp|fer|der|faust|po|ly|deu|kes
1726,3,"Beide mir leibliche Brüder, von einer Mutter geboren.",beide mir leibliche brüder von einer mutter geboren,bei|de|mir|leib|li|che|brü|der|von|ei|ner|mut|ter|ge|bo|ren
1727,3,Folgten sie nicht hieher aus der lieblichen Flur Lakedämon?,folgten sie nicht hieher aus der lieblichen flur lakedämon,folg|ten|sie|nicht|hie|her|aus|der|lieb|li|chen|flur|la|ke|dä|mon
1728,3,"Oder folgten sie zwar in meerdurchwandelnden Schiffen,",oder folgten sie zwar in meerdurchwandelnden schiffen,o|der|folg|ten|sie|zwar|in|me|er|durch|wan|deln|den|schif|fen
1729,3,"Aber enthalten sich nun, in die Schlacht zu gehen der Männer,",aber enthalten sich nun in die schlacht zu gehen der männer,a|ber|ent|hal|ten|sich|nun|in|die|schlacht|zu|ge|hen|der|män|ner
1730,3,"Weil sie die Schand' abschreckt und die große Schmach, die mich zeichnet?",weil sie die schand' abschreckt und die große schmach die mich zeichnet,weil|sie|die|schand'|ab|schreckt|und|die|gro|ße|schmach|die|mich|zeich|net
1731,3,Jene sprach's; doch die beiden umfing die ernährende Erde,jene sprach's doch die beiden umfing die ernährende erde,je|ne|sprach's|doch|die|bei|den|um|fing|die|er|näh|ren|de|er|de
1732,3,"In Lakedämon bereits, im lieben Lande der Väter.",in lakedämon bereits im lieben lande der väter,in|la|ke|dä|mon|be|reits|im|lie|ben|lan|de|der|vä|ter
1733,3,Aber die Herolde trugen die Bundesopfer der Götter,aber die herolde trugen die bundesopfer der götter,a|ber|die|he|rol|de|tru|gen|die|bun|des|op|fer|der|göt|ter
1734,3,"Durch die Stadt, zwei Lämmer, und fröhlichen Wein des Gefildes,",durch die stadt zwei lämmer und fröhlichen wein des gefildes,durch|die|stadt|zwei|läm|mer|und|fröh|li|chen|wein|des|ge|fil|des
1735,3,Im geißledernen Schlauch; es trug Idäos der Herold,im geißledernen schlauch es trug idäos der herold,im|geiß|le|der|nen|schlauch|es|trug|i|dä|os|der|he|rold
1736,3,"Einen blinkenden Krug in der Hand, und goldene Becher.",einen blinkenden krug in der hand und goldene becher,ei|nen|blin|ken|den|krug|in|der|hand|und|gol|de|ne|be|cher
1737,3,"Dieser nahte dem Greis', und sprach die ermahnenden Worte:",dieser nahte dem greis' und sprach die ermahnenden worte,die|ser|nah|te|dem|greis'|und|sprach|die|er|mah|nen|den|wor|te
1738,3,"Mache dich auf, Laomedons Sohn; dich rufen die Fürsten",mache dich auf laomedons sohn dich rufen die fürsten,ma|che|dich|auf|la|o|me|dons|sohn|dich|ru|fen|die|fürs|ten
1739,3,Rossebezähmender Troer und erzumschirmter Achaier,rossebezähmender troer und erzumschirmter achaier,ros|se|be|zäh|men|der|tro|er|und|erz|um|schirm|ter|a|chai|er
1740,3,"Dort hinab ins Gefilde, den heiligen Bund zu beschwören.",dort hinab ins gefilde den heiligen bund zu beschwören,dort|hin|ab|ins|ge|fil|de|den|hei|li|gen|bund|zu|be|schwö|ren
1741,3,Nur Alexandros allein und der streitbare Held Menelaos,nur alexandros allein und der streitbare held menelaos,nur|a|lex|an|dros|al|lein|und|der|streit|ba|re|held|me|ne|la|os
1742,3,Werden anjetzt um das Weib mit langem Speer sich bekämpfen;,werden anjetzt um das weib mit langem speer sich bekämpfen,wer|den|an|jetzt|um|das|weib|mit|lan|gem|speer|sich|be|kämp|fen
1743,3,"Und wer den Gegner besiegt, dem folgt das Weib und die Schätze.",und wer den gegner besiegt dem folgt das weib und die schätze,und|wer|den|geg|ner|be|siegt|dem|folgt|das|weib|und|die|schät|ze
1744,3,"Wir dann zugleich, Freundschaft und heiligen Bund uns beschwörend",wir dann zugleich freundschaft und heiligen bund uns beschwörend,wir|dann|zu|gleich|freund|schaft|und|hei|li|gen|bund|uns|be|schwö|rend
1745,3,Baun die schollige Troja; und jen' entschiffen zu Argos,baun die schollige troja und jen' entschiffen zu argos,baun|die|schol|li|ge|tro|ja|und|jen'|ent|schif|fen|zu|ar|gos
1746,3,"Rossenährender Flur, und Achaias rosigen Jungfraun.",rossenährender flur und achaias rosigen jungfraun,ros|sen|äh|ren|der|flur|und|a|chai|as|ro|si|gen|jung|fraun
1747,3,"Jener sprach's; da schaurte der Greis, und befahl den Gefährten,",jener sprach's da schaurte der greis und befahl den gefährten,je|ner|sprach's|da|schaur|te|der|greis|und|be|fahl|den|ge|fähr|ten
1748,3,Anzuschirren die Ross'; und sie eileten flugs ihm gehorchend.,anzuschirren die ross' und sie eileten flugs ihm gehorchend,an|zu|schir|ren|die|ross'|und|sie|ei|le|ten|flugs|ihm|ge|hor|chend
1749,3,"Priamos trat in den Wagen, und zog die lenkenden Zügel;",priamos trat in den wagen und zog die lenkenden zügel,pri|a|mos|trat|in|den|wa|gen|und|zog|die|len|ken|den|zü|gel
1750,3,Auch mit ihm Antenor bestieg den prächtigen Sessel;,auch mit ihm antenor bestieg den prächtigen sessel,auch|mit|ihm|an|te|nor|be|stieg|den|präch|ti|gen|ses|sel
1751,3,Schnell durch das skäische Tor entflogen die Ross' ins Gefilde.,schnell durch das skäische tor entflogen die ross' ins gefilde,schnell|durch|das|skä|i|sche|tor|ent|flo|gen|die|ross'|ins|ge|fil|de
1752,3,"Als sie nunmehr hinkamen zu Trojas Volk und Achaias,",als sie nunmehr hinkamen zu trojas volk und achaias,als|sie|nun|mehr|hin|ka|men|zu|tro|jas|volk|und|a|chai|as
1753,3,"Stiegen sie beid' aus dem Wagen zur nahrungsprossenden Erde,",stiegen sie beid' aus dem wagen zur nahrungsprossenden erde,stie|gen|sie|beid'|aus|dem|wa|gen|zur|nah|rungs|pros|sen|den|er|de
1754,3,Wandelten dann in die Mitte der Troer einher und Achaier.,wandelten dann in die mitte der troer einher und achaier,wan|del|ten|dann|in|die|mit|te|der|tro|er|ein|her|und|a|chai|er
1755,3,"Eilend darauf erhub sich der Völkerfürst Agamemnon,",eilend darauf erhub sich der völkerfürst agamemnon,ei|lend|dar|auf|er|hub|sich|der|völ|ker|fürst|a|ga|mem|non
1756,3,Auch Odysseus voll Rat. Die stattlichen Herolde jetzo,auch odysseus voll rat die stattlichen herolde jetzo,auch|o|dys|seus|voll|rat|die|statt|li|chen|he|rol|de|jet|zo
1757,3,"Führten die Bundesopfer herbei, auch Wein in dem Kruge",führten die bundesopfer herbei auch wein in dem kruge,führ|ten|die|bun|des|op|fer|her|bei|auch|wein|in|dem|kru|ge
1758,3,"Mischten sie, sprengeten dann der Könige Hände mit Wasser.",mischten sie sprengeten dann der könige hände mit wasser,misch|ten|sie|spren|ge|ten|dann|der|kö|ni|ge|hän|de|mit|was|ser
1759,3,"Doch der Atreid', ausziehend mit hurtigen Händen das Messer,",doch der atreid' ausziehend mit hurtigen händen das messer,doch|der|a|treid'|aus|zie|hend|mit|hur|ti|gen|hän|den|das|mes|ser
1760,3,"Das an der großen Scheide des Schwerts ihm immer herabhing,",das an der großen scheide des schwerts ihm immer herabhing,das|an|der|gro|ßen|schei|de|des|schwerts|ihm|im|mer|her|ab|hing
1761,3,Schnitt vom Haupt der Lämmer das Haar; und die Herolde jetzo,schnitt vom haupt der lämmer das haar und die herolde jetzo,schnitt|vom|haupt|der|läm|mer|das|haar|und|die|he|rol|de|jet|zo
1762,3,Teileten rings der Troer und Danaer edlen Gebietern.,teileten rings der troer und danaer edlen gebietern,tei|le|ten|rings|der|tro|er|und|da|na|er|ed|len|ge|bie|tern
1763,3,"Laut nun fleht' Agamemnon empor, mit erhobenen Händen:",laut nun fleht' agamemnon empor mit erhobenen händen,laut|nun|fleht'|a|ga|mem|non|em|por|mit|er|ho|be|nen|hän|den
1764,3,"Vater Zeus, ruhmwürdig und hehr, du Herrscher vom Ida!",vater zeus ruhmwürdig und hehr du herrscher vom ida,va|ter|zeus|ruhm|wür|dig|und|hehr|du|herr|scher|vom|i|da
1765,3,"Helios auch, der alles vernimmt, und alles umschauet!",helios auch der alles vernimmt und alles umschauet,he|li|os|auch|der|al|les|ver|nimmt|und|al|les|um|schau|et
1766,3,"Auch ihr Ström', und du Erd', und die ihr drunten die Geister",auch ihr ström' und du erd' und die ihr drunten die geister,auch|ihr|ström'|und|du|erd'|und|die|ihr|drun|ten|die|geis|ter
1767,3,"Toter Menschen bestraft, wer hier Meineide geschworen!",toter menschen bestraft wer hier meineide geschworen,to|ter|men|schen|be|straft|wer|hier|mein|ei|de|ge|schwo|ren
1768,3,"Seid uns Zeugen ihr all', und bewahrt die Schwüre des Bundes!",seid uns zeugen ihr all' und bewahrt die schwüre des bundes,seid|uns|zeu|gen|ihr|all'|und|be|wahrt|die|schwü|re|des|bun|des
1769,3,Wenn den Held Menelaos vielleicht Alexandros erleget;,wenn den held menelaos vielleicht alexandros erleget,wenn|den|held|me|ne|la|os|viel|leicht|a|lex|an|dros|er|le|get
1770,3,"Dann behalt' er Helena selbst und die sämtlichen Schätze,",dann behalt' er helena selbst und die sämtlichen schätze,dann|be|halt'|er|he|le|na|selbst|und|die|sämt|li|chen|schät|ze
1771,3,Doch wir kehren zurück in meerdurchwandelnden Schiffen.,doch wir kehren zurück in meerdurchwandelnden schiffen,doch|wir|keh|ren|zu|rück|in|me|er|durch|wan|deln|den|schif|fen
1772,3,Aber sinkt Alexandros dem bräunlichen Held Menelaos;,aber sinkt alexandros dem bräunlichen held menelaos,a|ber|sinkt|a|lex|an|dros|dem|bräun|li|chen|held|me|ne|la|os
1773,3,Dann entlassen die Troer das Weib und die sämtlichen Schätze;,dann entlassen die troer das weib und die sämtlichen schätze,dann|ent|las|sen|die|tro|er|das|weib|und|die|sämt|li|chen|schät|ze
1774,3,"Buße zugleich den Argeiern bezahlen sie, welche geziemet,",buße zugleich den argeiern bezahlen sie welche geziemet,bu|ße|zu|gleich|den|ar|gei|ern|be|zah|len|sie|wel|che|ge|zie|met
1775,3,Und die hinfort auch daure bei kommenden Menschengeschlechtern.,und die hinfort auch daure bei kommenden menschengeschlechtern,und|die|hin|fort|auch|dau|re|bei|kom|men|den|men|schen|ge|schlech|tern
1776,3,"Doch wenn Priamos dann und Priamos Söhne sich weigern,",doch wenn priamos dann und priamos söhne sich weigern,doch|wenn|pri|a|mos|dann|und|pri|a|mos|söh|ne|sich|wei|gern
1777,3,"Mir zu bezahlen die Buße, nachdem Alexandros gefallen;",mir zu bezahlen die buße nachdem alexandros gefallen,mir|zu|be|zah|len|die|bu|ße|nach|dem|a|lex|an|dros|ge|fal|len
1778,3,Dann werd' ich von neuem mit Kriegsmacht wegen der Sühnung,dann werd' ich von neuem mit kriegsmacht wegen der sühnung,dann|werd'|ich|von|neu|em|mit|kriegs|macht|we|gen|der|süh|nung
1779,3,"Kämpfen und nicht heimziehn, bis der Zweck des Krieges erreicht ist.",kämpfen und nicht heimziehn bis der zweck des krieges erreicht ist,kämp|fen|und|nicht|heim|ziehn|bis|der|zweck|des|krie|ges|er|reicht|ist
1780,3,"Sprach's, und die Kehlen der Lämmer zerschnitt er mit grausamem Erze.",sprach's und die kehlen der lämmer zerschnitt er mit grausamem erze,sprach's|und|die|keh|len|der|läm|mer|zer|schnitt|er|mit|grau|sa|mem|er|ze
1781,3,"Beide legt' er nunmehr, die zappelnden, nieder im Staube,",beide legt' er nunmehr die zappelnden nieder im staube,bei|de|legt'|er|nun|mehr|die|zap|peln|den|nie|der|im|stau|be
1782,3,"Matt aushauchend den Geist, da die Kraft vom Erze geraubt war.",matt aushauchend den geist da die kraft vom erze geraubt war,matt|aus|hau|chend|den|geist|da|die|kraft|vom|er|ze|ge|raubt|war
1783,3,Hierauf Wein aus dem Krug in die goldenen Becher sich schöpfend,hierauf wein aus dem krug in die goldenen becher sich schöpfend,hier|auf|wein|aus|dem|krug|in|die|gol|de|nen|be|cher|sich|schöp|fend
1784,3,"Gossen sie aus, und flehten den ewigwährenden Göttern.",gossen sie aus und flehten den ewigwährenden göttern,gos|sen|sie|aus|und|fleh|ten|den|e|wig|wäh|ren|den|göt|tern
1785,3,Also betete mancher der Troer umher und Achaier:,also betete mancher der troer umher und achaier,al|so|be|te|te|man|cher|der|tro|er|um|her|und|a|chai|er
1786,3,"Zeus, ruhmwürdig und hehr, und ihr andern unsterblichen Götter!",zeus ruhmwürdig und hehr und ihr andern unsterblichen götter,zeus|ruhm|wür|dig|und|hehr|und|ihr|an|dern|un|sterb|li|chen|göt|ter
1787,3,"Welche von uns zuerst nun beleidigen, wider den Eidschwur;",welche von uns zuerst nun beleidigen wider den eidschwur,wel|che|von|uns|zu|erst|nun|be|lei|di|gen|wi|der|den|eid|schwur
1788,3,"Blutig fließ' ihr Gehirn, wie der Wein hier, rings auf der Erde,",blutig fließ' ihr gehirn wie der wein hier rings auf der erde,blu|tig|fließ'|ihr|ge|hirn|wie|der|wein|hier|rings|auf|der|er|de
1789,3,Ihrs und der Kinder zugleich; und die Gattinnen schände der Fremdling!,ihrs und der kinder zugleich und die gattinnen schände der fremdling,ihrs|und|der|kin|der|zu|gleich|und|die|gat|tin|nen|schän|de|der|fremd|ling
1790,3,Also das Volk; doch mit nichten gewährt' ihm solches Kronion.,also das volk doch mit nichten gewährt' ihm solches kronion,al|so|das|volk|doch|mit|nich|ten|ge|währt'|ihm|sol|ches|kro|ni|on
1791,3,"Aber Priamos sprach, des Dardanos herrschender Enkel:",aber priamos sprach des dardanos herrschender enkel,a|ber|pri|a|mos|sprach|des|dar|da|nos|herr|schen|der|en|kel
1792,3,"Hört mein Wort, ihr Troer, und hellumschiente Achaier.",hört mein wort ihr troer und hellumschiente achaier,hört|mein|wort|ihr|tro|er|und|hel|lum|schien|te|a|chai|er
1793,3,Jetzo kehr' ich wieder zu Ilios luftigen Höhen,jetzo kehr' ich wieder zu ilios luftigen höhen,jet|zo|kehr'|ich|wie|der|zu|i|li|os|luf|ti|gen|hö|hen
1794,3,Heim; denn nimmer vermag ich mit eigenen Augen zu schauen,heim denn nimmer vermag ich mit eigenen augen zu schauen,heim|denn|nim|mer|ver|mag|ich|mit|ei|ge|nen|au|gen|zu|schau|en
1795,3,Kämpfend den lieben Sohn mit dem streitbaren Held Menelaos.,kämpfend den lieben sohn mit dem streitbaren held menelaos,kämp|fend|den|lie|ben|sohn|mit|dem|streit|ba|ren|held|me|ne|la|os
1796,3,"Zeus erkennt es allein und die andern unsterblichen Götter,",zeus erkennt es allein und die andern unsterblichen götter,zeus|er|kennt|es|al|lein|und|die|an|dern|un|sterb|li|chen|göt|ter
1797,3,Wem nunmehr von beiden das Ziel des Todes verhängt ist.,wem nunmehr von beiden das ziel des todes verhängt ist,wem|nun|mehr|von|bei|den|das|ziel|des|to|des|ver|hängt|ist
1798,3,"Also der göttliche Held, und legt' in den Wagen die Lämmer,",also der göttliche held und legt' in den wagen die lämmer,al|so|der|gött|li|che|held|und|legt'|in|den|wa|gen|die|läm|mer
1799,3,"Trat dann selber hinein, und zog die lenkenden Zügel;",trat dann selber hinein und zog die lenkenden zügel,trat|dann|sel|ber|hin|ein|und|zog|die|len|ken|den|zü|gel
1800,3,Auch mit ihm Antenor bestieg den prächtigen Sessel;,auch mit ihm antenor bestieg den prächtigen sessel,auch|mit|ihm|an|te|nor|be|stieg|den|präch|ti|gen|ses|sel
1801,3,"Schnell dann kehrten sie beide, zu Ilios Höhen sich wendend.",schnell dann kehrten sie beide zu ilios höhen sich wendend,schnell|dann|kehr|ten|sie|bei|de|zu|i|li|os|hö|hen|sich|wen|dend
1802,3,"Hektor drauf, des Priamos Sohn, und der edle Odysseus,",hektor drauf des priamos sohn und der edle odysseus,hek|tor|drauf|des|pri|a|mos|sohn|und|der|ed|le|o|dys|seus
1803,3,"Maßen umher die Weite des Kampfraums, warfen dann eilend",maßen umher die weite des kampfraums warfen dann eilend,ma|ßen|um|her|die|wei|te|des|kampf|raums|war|fen|dann|ei|lend
1804,3,"Los' in den ehernen Helm, und schüttelten: welchem das Schicksal",los' in den ehernen helm und schüttelten welchem das schicksal,los'|in|den|e|her|nen|helm|und|schüt|tel|ten|wel|chem|das|schick|sal
1805,3,"Gönnte, zuerst auf den Gegner die eherne Lanze zu werfen.",gönnte zuerst auf den gegner die eherne lanze zu werfen,gönn|te|zu|erst|auf|den|geg|ner|die|e|her|ne|lan|ze|zu|wer|fen
1806,3,"Ringsum flehte das Volk, und erhob zu den Göttern die Hände.",ringsum flehte das volk und erhob zu den göttern die hände,rings|um|fleh|te|das|volk|und|er|hob|zu|den|göt|tern|die|hän|de
1807,3,Also betete mancher der Troer umher und Achaier:,also betete mancher der troer umher und achaier,al|so|be|te|te|man|cher|der|tro|er|um|her|und|a|chai|er
1808,3,"Vater Zeus, ruhmwürdig und hehr, du Herrscher vom Ida!",vater zeus ruhmwürdig und hehr du herrscher vom ida,va|ter|zeus|ruhm|wür|dig|und|hehr|du|herr|scher|vom|i|da
1809,3,"Wer von beiden den Grund zu solchem Streite geleget,",wer von beiden den grund zu solchem streite geleget,wer|von|bei|den|den|grund|zu|sol|chem|strei|te|ge|le|get
1810,3,Den laß jetzo vertilgt eingehn in Aïdes Wohnung;,den laß jetzo vertilgt eingehn in aïdes wohnung,den|laß|jet|zo|ver|tilgt|ein|gehn|in|a|ï|des|woh|nung
1811,3,Aber uns versöhne der Freundschaft heiliges Bündnis!,aber uns versöhne der freundschaft heiliges bündnis,a|ber|uns|ver|söh|ne|der|freund|schaft|hei|li|ges|bünd|nis
1812,3,"Also das Volk; doch der große, der helmumflatterte Hektor",also das volk doch der große der helmumflatterte hektor,al|so|das|volk|doch|der|gro|ße|der|hel|mum|flat|ter|te|hek|tor
1813,3,"Schüttelte, rückwärts gewandt: da entsprang das Zeichen des Paris.",schüttelte rückwärts gewandt da entsprang das zeichen des paris,schüt|tel|te|rück|wärts|ge|wandt|da|ent|sprang|das|zei|chen|des|pa|ris
1814,3,"Rings nun setzten sich all' in Ordnungen, dort wo sich jeder",rings nun setzten sich all' in ordnungen dort wo sich jeder,rings|nun|setz|ten|sich|all'|in|ord|nun|gen|dort|wo|sich|je|der
1815,3,"Rosse gehobenes Hufs, und gebildete Waffen gereihet.",rosse gehobenes hufs und gebildete waffen gereihet,ros|se|ge|ho|be|nes|hufs|und|ge|bil|de|te|waf|fen|ge|rei|het
1816,3,"Aber er selbst umhüllte mit zierlichen Waffen die Schultern,",aber er selbst umhüllte mit zierlichen waffen die schultern,a|ber|er|selbst|um|hüll|te|mit|zier|li|chen|waf|fen|die|schul|tern
1817,3,"Alexandros der Held, der lockigen Helena Gatte.",alexandros der held der lockigen helena gatte,a|lex|an|dros|der|held|der|lo|cki|gen|he|le|na|gat|te
1818,3,"Eilend fügt' er zuerst um die Beine sich bergende Schienen,",eilend fügt' er zuerst um die beine sich bergende schienen,ei|lend|fügt'|er|zu|erst|um|die|bei|ne|sich|ber|gen|de|schie|nen
1819,3,"Blank und schön, anschließend mit silberner Knöchelbedeckung;",blank und schön anschließend mit silberner knöchelbedeckung,blank|und|schön|an|schlie|ßend|mit|sil|ber|ner|knö|chel|be|de|ckung
1820,3,Weiter umschirmt' er die Brust ringsher mit dem ehernen Harnisch,weiter umschirmt' er die brust ringsher mit dem ehernen harnisch,wei|ter|um|schirmt'|er|die|brust|rings|her|mit|dem|e|her|nen|har|nisch
1821,3,"Seines tapferen Bruders Lykaon, der ihm gerecht war;",seines tapferen bruders lykaon der ihm gerecht war,sei|nes|tap|fe|ren|bru|ders|ly|kaon|der|ihm|ge|recht|war
1822,3,"Hängte sodann um die Schulter das Schwert voll silbener Buckeln,",hängte sodann um die schulter das schwert voll silbener buckeln,häng|te|so|dann|um|die|schul|ter|das|schwert|voll|sil|be|ner|bu|ckeln
1823,3,"Eherner Kling'; und darauf den Schild auch, groß und gediegen;",eherner kling' und darauf den schild auch groß und gediegen,e|her|ner|kling'|und|dar|auf|den|schild|auch|groß|und|ge|die|gen
1824,3,"Auch das gewaltige Haupt mit stattlichem Helme bedeckt' er,",auch das gewaltige haupt mit stattlichem helme bedeckt' er,auch|das|ge|wal|ti|ge|haupt|mit|statt|li|chem|hel|me|be|deckt'|er
1825,3,Von Roßhaaren umwallt; und fürchterlich winkte der Helmbusch;,von roßhaaren umwallt und fürchterlich winkte der helmbusch,von|roß|haa|ren|um|wallt|und|fürch|ter|lich|wink|te|der|helm|busch
1826,3,"Nahm dann die mächtige Lanze, die ihm in den Händen gerecht war.",nahm dann die mächtige lanze die ihm in den händen gerecht war,nahm|dann|die|mäch|ti|ge|lan|ze|die|ihm|in|den|hän|den|ge|recht|war
1827,3,"So auch zog Menelaos, der streitbare, Waffengeschmeid' an.",so auch zog menelaos der streitbare waffengeschmeid' an,so|auch|zog|me|ne|la|os|der|streit|ba|re|waf|fen|ge|schmeid'|an
1828,3,"Als sich diese nunmehr in jeglichem Heere gerüstet,",als sich diese nunmehr in jeglichem heere gerüstet,als|sich|die|se|nun|mehr|in|jeg|li|chem|hee|re|ge|rüs|tet
1829,3,"Traten beid' in die Mitte der Troer einher und Achaier,",traten beid' in die mitte der troer einher und achaier,tra|ten|beid'|in|die|mit|te|der|tro|er|ein|her|und|a|chai|er
1830,3,"Mit androhendem Blick; und Staunen ergriff, die es ansahn,",mit androhendem blick und staunen ergriff die es ansahn,mit|an|dro|hen|dem|blick|und|stau|nen|er|griff|die|es|an|sahn
1831,3,"Rossebezähmende Troer, und hellumschiente Achaier.",rossebezähmende troer und hellumschiente achaier,ros|se|be|zäh|men|de|tro|er|und|hel|lum|schien|te|a|chai|er
1832,3,"Und nun standen sie nah' im abgemessenen Kampfraum,",und nun standen sie nah' im abgemessenen kampfraum,und|nun|stan|den|sie|nah'|im|ab|ge|mes|se|nen|kampf|raum
1833,3,"Wild die Speere bewegend, und zornvoll widereinander.",wild die speere bewegend und zornvoll widereinander,wild|die|spee|re|be|we|gend|und|zorn|voll|wi|der|ein|an|der
1834,3,Erstlich entsandt' Alexandros die weithinschattende Lanze;,erstlich entsandt' alexandros die weithinschattende lanze,erst|lich|ent|sandt'|a|lex|an|dros|die|weit|hin|schat|ten|de|lan|ze
1835,3,Und sie traf dem Atreiden den Schild von gerundeter Wölbung:,und sie traf dem atreiden den schild von gerundeter wölbung,und|sie|traf|dem|a|trei|den|den|schild|von|ge|run|de|ter|wöl|bung
1836,3,"Doch nicht brach sie das Erz, denn rückwärts bog sich die Spitze",doch nicht brach sie das erz denn rückwärts bog sich die spitze,doch|nicht|brach|sie|das|erz|denn|rück|wärts|bog|sich|die|spit|ze
1837,3,"Auf dem gediegenen Schild. Nun erhob auch jener die Lanze,",auf dem gediegenen schild nun erhob auch jener die lanze,auf|dem|ge|die|ge|nen|schild|nun|er|hob|auch|je|ner|die|lan|ze
1838,3,"Atreus Sohn Menelaos, und betete laut zu Kronion:",atreus sohn menelaos und betete laut zu kronion,a|treus|sohn|me|ne|la|os|und|be|te|te|laut|zu|kro|ni|on
1839,3,"Waltender Zeus, laß strafen mich ihn, der zuerst mich beleidigt,",waltender zeus laß strafen mich ihn der zuerst mich beleidigt,wal|ten|der|zeus|laß|stra|fen|mich|ihn|der|zu|erst|mich|be|lei|digt
1840,3,"Alexandros den Held, und meinen Arm ihn bezwingen:",alexandros den held und meinen arm ihn bezwingen,a|lex|an|dros|den|held|und|mei|nen|arm|ihn|be|zwin|gen
1841,3,"Daß man schaudre hinfort auch in späteren Menschengeschlechtern,",daß man schaudre hinfort auch in späteren menschengeschlechtern,daß|man|schaud|re|hin|fort|auch|in|spä|te|ren|men|schen|ge|schlech|tern
1842,3,"Böses dem Freunde zu tun, der wohlgesinnt ihn beherbergt!",böses dem freunde zu tun der wohlgesinnt ihn beherbergt,bö|ses|dem|freun|de|zu|tun|der|wohl|ge|sinnt|ihn|be|her|bergt
1843,3,"Sprach's, und im Schwung' entsandt' er die weithinschattende Lanze;",sprach's und im schwung' entsandt' er die weithinschattende lanze,sprach's|und|im|schwung'|ent|sandt'|er|die|weit|hin|schat|ten|de|lan|ze
1844,3,Und sie traf dem Paris den Schild von gerundeter Wölbung.,und sie traf dem paris den schild von gerundeter wölbung,und|sie|traf|dem|pa|ris|den|schild|von|ge|run|de|ter|wöl|bung
1845,3,"Siehe den strahlenden Schild durchschmetterte mächtig die Lanze,",siehe den strahlenden schild durchschmetterte mächtig die lanze,sie|he|den|strah|len|den|schild|durch|schmet|ter|te|mäch|tig|die|lan|ze
1846,3,Auch in das Kunstgeschmeide des Harnisches drang sie geheftet;,auch in das kunstgeschmeide des harnisches drang sie geheftet,auch|in|das|kunst|ge|schmei|de|des|har|ni|sches|drang|sie|ge|hef|tet
1847,3,Grad' hindurch an der Weiche des Bauchs durchschnitt sie den Leibrock,grad' hindurch an der weiche des bauchs durchschnitt sie den leibrock,grad'|hin|durch|an|der|wei|che|des|bauchs|durch|schnitt|sie|den|leib|rock
1848,3,"Stürmend: da wand sich jener, und mied das schwarze Verhängnis.",stürmend da wand sich jener und mied das schwarze verhängnis,stür|mend|da|wand|sich|je|ner|und|mied|das|schwar|ze|ver|häng|nis
1849,3,"Hurtig zog der Atreide das Schwert voll silberner Buckeln,",hurtig zog der atreide das schwert voll silberner buckeln,hur|tig|zog|der|a|trei|de|das|schwert|voll|sil|ber|ner|bu|ckeln
