word,manually_syllabified_word
kehrt',kehrt'
keladons,ke|la|dons
kephallener,ke|phal|le|ner
klappt',klappt'
klarheit,klar|heit
kriegesstaube,krie|ges|stau|be
kriegsarbeiten,kriegs|ar|bei|ten
kriegsgezelt',kriegs|ge|zelt'
kteatos',kte|a|tos'
kteatos,kte|a|tos
kunstarbeit,kunst|ar|beit
kunsterfahrensten,kunst|er|fah|ren|sten
kunsterfahrne,kunst|er|fahr|ne
kurzem,kur|zem
kämmt',kämmt'
lebt',lebt'
lechzt',lechzt'
leckerbereiteten,le|cker|be|rei|te|ten
legt',legt'
leichengewand',lei|chen|ge|wand'
leinenem,lei|ne|nem
leinenen,lei|ne|nen
lenkt',lenkt'
leonteus,le|on|teus
leonteus',le|on|teus'
liebt',liebt'
liegt's,liegt's
lockt',lockt'
lodert',lo|dert'
lokrer,lok|rer
lyktos',lyk|tos'
lästert',läs|tert'
lösegeschenk',lö|se|ge|schenk'
löst',löst'
löw',löw'
lügener,lü|ge|ner
mangelt',man|gelt'
marpissa,mar|pis|sa
medons,me|dons
merkt',merkt'
mich's,mich's
milcherfülleten,milch|er|fül|le|ten
mir's,mir's
mond',mond'
mühlsteinähnlichen,mühl|stein|ähn|li|chen
mütterlich,müt|ter|lich
neigt',neigt'
nestorid',nes|to|rid'
nickt',nickt'
onchestos',on|ches|tos'
opfert',op|fert'
oreithya,o|rei|thy|a
peleid',pe|leid'
pflegt',pflegt'
phlegyer,phle|gy|er
poseidons,po|sei|dons
prahlt',prahlt'
prangt',prangt'
quält',quält'
ragt',ragt'
ratschlüsse,rat|schlüs|se
raubt',raubt'
rauft',rauft'
regt',regt'
reizt',reizt'
rief's,rief's
rollt',rollt'
ruhmverklärten,ruhm|ver|klär|ten
rückgrat,rück|grat
rücklings,rück|lings
rückverfolgung,rück|ver|fol|gung
rückwärts,rück|wärts
rückwärtsfliegendem,rück|wärts|flie|gen|dem
rühmt',rühmt'
rührt',rührt'
sagt',sagt'
salbt',salbt'
salz,salz
salzflut,salz|flut
salzschaum,salz|schaum
sangarios',san|ga|ri|os'
sarpedons,sar|pe|dons
schakal',scha|kal'
scharf,scharf
scharfe,schar|fe
scharfem,schar|fem
scharfen,schar|fen
scharfer,schar|fer
scharfes,schar|fes
scharfgespitzt,scharf|ge|spitzt
scharfspitziger,scharf|spit|zi|ger
scharfzackigem,scharf|za|cki|gem
scharfzahnige,scharf|zah|ni|ge
scharfzahniger,scharf|zah|ni|ger
scharrt',scharrt'
scharweis,schar|weis
schaudrigen,schaud|ri|gen
scheint's,scheint's
schenkt',schenkt'
schienbein,schien|bein
schirmt',schirmt'
schirrt',schirrt'
schlauersonnenen,schlau|er|son|nen|en
schlummert',schlum|mert'
schläfert',schlä|fert'
schlängelt',schlän|gelt'
schmettert',schmet|tert'
schmiegt',schmiegt'
schmückt',schmückt'
schnallt',schnallt'
schnellfliehendem,schnell|flie|hen|dem
schnellt',schnellt'
schnitzt',schnitzt'
schreckt',schreckt'
schwarz,schwarz
schwarzen,schwar|zen
schwarzer,schwar|zer
schwarzes,schwar|zes
schwarzgeflügelte,schwarz|ge|flü|gel|te
schwarzgeflügelten,schwarz|ge|flü|gel|ten
schwarzgeschnäbelten,schwarz|ge|schnä|bel|ten
schwarzgeschnäbeltes,schwarz|ge|schnä|bel|tes
schwarzlockige,schwarz|lo|cki|ge
schwarzlockiger,schwarz|lo|cki|ger
schwarzrinnendes,schwarz|rin|nen|des
schwarzschauernder,schwarz|schau|ern|der
schwarzschäumendes,schwarz|schäu|men|des
schwarzwolkiger,schwarz|wol|ki|ger
schwebt',schwebt'
schwenkt',schwenkt'
schwärmt',schwärmt'
schüttelt',schüt|telt'
segelt',se|gelt'
sei'n,sei'n
sei's,sei's
senkt',senkt'
setzt',setzt'
seufzt',seufzt'
sich's,sich's
sie's,sie's
siegt',siegt'
silberfarbener,sil|ber|far|be|ner
skarphe,skar|phe
sorgt',sorgt'
sprach's,sprach's
sprengt',sprengt'
spült',spült'
stand's,stand's
star',star'
starb,starb
starben,star|ben
starbst,starbst
steckt',steckt'
steckten's,steck|ten's
stellt',stellt'
sterbe,ster|be
stillfliehendes,still|flie|hen|des
stillt',stillt'
stockt',stockt'
straft',straft'
strahlt',strahlt'
strebt',strebt'
streckt',streckt'
streichelt',strei|chelt'
strengt',strengt'
styx',styx'
stämm',stämm'
stärkre,stärk|re
stärkt',stärkt'
