word,manually_syllabified_word
stut',stut'
stürmendes,stür|men|des
stürz',stürz'
säh',säh'
säul',säul'
säß',säß'
sühnhekatomb',sühn|he|ka|tomb'
tadl',tadl'
tamarisk',ta|ma|risk'
tamariskengezweig',ta|ma|ris|ken|ge|zweig'
tapferes,tap|fe|res
tarnende,tar|nen|de
tartsch',tartsch'
taub',taub'
telamonid',te|la|mo|nid'
tendredons,ten|dre||ons
teutamos,teu|ta|mos
thalysios,tha|ly|si|os
themis',the|mis'
thessalos,thes|sa|los
thetys,the|tys
thraka,thra|ka
thronios,thro|ni|os
tief',tief'
tiefbrennenden,tief|bren|nen|den
titanos,ti|ta|nos
tod',tod'
todesgedank',to|des|ge|dank'
tracht',tracht'
trafs,trafs
trag',trag'
trasymedes,tra|sy|me|des
trau',trau'
trauren,trau|ren
traurend,trau|rend
traurende,trau|ren|de
traurenden,trau|ren|den
traurender,trau|ren|der
traurendes,trau|ren|des
treff',treff'
treib',treib'
tret',tret'
troias,tro|i|as
troisches,tro|i|sches
trojas',tro|jas'
trotzendes,trot|zen|des
trotziges,trot|zi|ges
troß,troß
trug',trug'
trugsinnendes,trug|sin|nen|des
träf',träf'
träg',träg'
träges,trä|ges
trän',trän'
tränk',tränk'
trät',trät'
trüb',trüb'
trüg',trüg'
tür',tür'
ulm',ulm'
umfass',um|fass'
umging',um|ging'
umhüll',um|hüll'
umschließ',um|schließ'
umstürmte,um|stürm|te
umwend',um|wend'
umwälz',um|wälz'
unbiegsame,un|bieg|sa|me
unerschrockenes,un|er|schro|cke|nes
unerschüttertes,un|er|schüt|ter|tes
unfreundliches,un|freund|li|ches
ungeschwächtes,un|ge|schwäch|tes
unkriegrisches,un|krieg|ri|sches
unmutiges,un|mu|ti|ges
unmündiges,un|mün|di|ges
unschlüssiges,un|schlüs|si|ges
untadliche,un|tad|li|che
untadlichen,un|tad|li|chen
unverrückt',un|ver|rückt'
unwilliges,un|wil|li|ges
vatergefild',va|ter|ge|fild'
vaterland',va|ter|land'
verachtungswert,ver|ach|tungs|wert
verarg',ver|arg'
verberg',ver|berg'
verbirg',ver|birg'
verbrannt',ver|brannt'
verbrenn',ver|brenn'
verderb',ver|derb'
vergäß',ver|gäß'
vergönn',ver|gönn'
verhaucht',ver|haucht'
verheerenden,ver|hee|ren|den
verhehrte,ver|hehr|te
verheiß',ver|heiß'
verhäng',ver|häng'
verkünd',ver|künd'
verlang',ver|lang'
verleih',ver|leih'
vermut',ver|mut'
vermöcht',ver|möcht'
vernahmens,ver|nah|mens
vernehm',ver|nehm'
versagtet,ver|sag|tet
versandt',ver|sandt'
verschlang',ver|schlang'
verschläng',ver|schläng'
verschmäh',ver|schmäh'
verschmähet,ver|schmä|het
verschwinde,ver|schwin|de
versprengen,ver|spren|gen
verstatt',ver|statt'
verständiges,ver|stän|di|ges
versuch',ver|such'
versuchtes,ver|such|tes
versunken,ver|sun|ken
verteilet,ver|tei|let
verwund',ver|wund'
viel',viel'
volk',volk'
vollblühendes,voll|blü|hen|des
vorangeh',vor|an|geh'
vordrängenden,vor|drän|gen|den
vorragt,vor|ragt
vorstrand',vor|strand'
wag',wag'
wagenkund',wa|gen|kund'
walt',walt'
wandert,wan|dert
wandert',wan|dert'
wandl',wandl'
wandr',wandr'
wankendes,wan|ken|des
wart',wart'
wartende,war|ten|de
wartenden,war|ten|den
wartest,war|test
warz',warz'
wasserdürftigen,was|ser|dürf|ti|gen
wegdräng',wegdräng'
wegfährst,weg|fährst
weh',weh'
wehklag',weh|klag'
weib',weib'
weich',weich'
weid',weid'
weih',weih'
weis',weis'
weitbewohnten,weit|be|wohn|ten
weitgefaltet,weit|ge|fal|tet
weißwolliges,weiß|wol|li|ges
werd',werd'
widereinander,wi|der|ein|an|der
wies',wies'
wilderes,wil|de|res
will',will'
willfahr',will|fahr'
willfähriges,will|fäh|ri|ges
wink',wink'
winkt,winkt
wog',wog'
wohlbehaltenes,wohl|be|hal|te|nes
wolk',wolk'
woll',woll'
wollt',wollt'
wonn',wonn'
wund',wund'
wutfunkelndes,wut|fun|keln|des
wußt',wußt'
wähl',wähl'
wählt,wählt
währenden,wäh|ren|den
wär',wär'
wünsch',wünsch'
würf',würf'
wüstes,wüs|tes
zag',zag'
zappelt',zap|pelt'
zauder',zau|der'
zeig',zeig'
zermalm',zer|malm'
zerrissenes,zer|ris|se|nes
zerschmettr',zer|schmettr'
zeug',zeug'
zieg',zieg'
zorniges,zor|ni|ges
zucke,zu|cke
zuckenden,zu|cken|den
zug',zug'
zung',zung'
zweifaches,zwei|fa|ches
zwiefaches,zwie|fa|ches
zähm',zähm'
zög',zög'
zürnendes,zür|nen|des
ägeus,ä|geus
ägyptos,ä|gyp|tos
ähnliches,ähn|li|ches
önops,ö|nops
ösen,ö|sen
ötylos,ö|ty|los
übeles,ü|be|les
übermütiges,ü|ber|mü|ti|ges
überreicht,ü|ber|reicht
üppiges,üp|pi|ges
weitaufrauschenden,weit|auf|rau|schen|den
aufrauschenden,auf|rau|schen|den
eidschwur,eid|schwur
thestor,thes|tor
thestors,thes|tors
thestoride,thes|to|ri|de
darum,da|rum
thebäos,the|bä|os
diokles,di|o|kles
dickicht,di|ckicht
apisaon,a|pi|sa|on
aräthyreens,a|rä|thy|re|ens
peneleos,pe|ne|le|os
eos,e|os
daran,da|ran
